sent0,sent1,hard_neg,source
Source: Goldfish on green screen; Edit instruction: make it a bulldog,Bulldog on green screen,Goldfish on green screen,webvid_covr_multimodal
"More inventive than Gordon is the Chinese artist Huang Yong Ping, who was caught abroad during the Tiananmen Square uprising and now lives in Paris.",Huang Yong Ping was caught during the uprising and moved to France.,Huang Yong Ping was set free during the uprising and moved to Japan.,nli_base
"Whittington's your man.""",Whittington is the person you are looking for.,Whittington is not the guy you want.,nli_negation
"I have learned to find my way around better, although that is still a problem and I think that a technology that can deliver so much information should be able to provide better guidance on the screen and not require reference to a printed magazine.","Since technology can do so much, it should be able to provide directions within itself without the user needing extra references.",Technology has developed a perfect way to give directions so I haven't gotten lost in years.,nli_base
Source: Animated coin dollar blue 3d icon loop modules for edit with alpha matte; Edit instruction: Make it silver,Animated coin dollar silver 3d icon loop modules for edit with alpha matte,Animated coin dollar blue 3d icon loop modules for edit with alpha matte,webvid_covr_multimodal
Source: Autumn in the park; Edit instruction: replace with jasmine,Jasmine in the park,Autumn in the park,webvid_covr_multimodal
Source: Cannabis plant; Edit instruction: turn it into a green plant,Green plant,Cannabis plant,webvid_covr_multimodal
A girl in a red tank top using colored labels.,A person is wearing a tank top style shirt.,A girl is wearing a yellow t-shirt.,nli_base
Source: Salt water; Edit instruction: make it appear that it was made by manufacturing,Manufacturing water,Salt water,webvid_covr_multimodal
it's good talking to you yeah bye-bye,"It was nice speaking with you, goodbye.",The conversation did not go so well.,nli_negation
A man sits and reads a newspaper on a boat going through the water.,The man is riding on a boat.,The man is going for a swim.,nli_base
Man fly fishing in a small river with steam in the background.,The man has a fly rod in his hand.,The man is standing on the deck of the Queen Elizabeth II.,nli_base
Source: Fog and mountains; Edit instruction: replace the mountains with a forest,Fog and forest,Fog and mountains,webvid_covr_multimodal
Source: Lion fish in aquarium; Edit instruction: Make it exotic fish,Exotic fish in aquarium,Lion fish in aquarium,webvid_covr_multimodal
Source: Cooking meat on the grill; Edit instruction: make it a burger,Cooking burger on the grill,Cooking meat on the grill,webvid_covr_multimodal
People in a tent listening to one playing a guitar.,Some people listening to music.,Some campers hiking through the woods.,nli_base
Source: Oscilloscope pattern; Edit instruction: Make it a twirl,Twirl pattern,Oscilloscope pattern,webvid_covr_multimodal
Source: Kids drawing black screen with theme of orange; Edit instruction: turn the screen into a class,Kids drawing black screen with theme of classroom,Kids drawing black screen with theme of orange,webvid_covr_multimodal
"Now some 10 km (6 miles) from the sea, the ancient capital of the Western Roman Empire was once a flourishing port on the Adriatic facing the Greek world.",There was once an Adriatic port which is now 10km from the sea.,No capital of the Western Roman Empire was ever on the Adriatic.,nli_negation
"Two men near train tracks, while one is walking down stairs.",Two men are outside.,The men are shopping inside the mall.,nli_base
A worker picks up a box of grits,A worker is picking up box,A worker puts down a box of grits,ego4d_temporal
"Among Kaahumanu's many reforms was the banning of prostitution, a ruling which led to pitched battles in whaling ports such as Lahaina.","After prostitution was prohibited, many people fought in places like Lahaina.","Kahumanu allowed prostitution to continue, which led to celebrations in the streets of Lahaina.",nli_base
Source: Christmas show; Edit instruction: Make it look like a Christmas presents,Christmas presents,Christmas show,webvid_covr_multimodal
Source: Nature in summer; Edit instruction: turn it into a garden,Garden in summer,Nature in summer,webvid_covr_multimodal
A worker inserts the key in the dual seat lock,A worker inserts the key in the motorcycle,A worker removes the key from the dual seat lock,ego4d_temporal
Source: Aerial river; Edit instruction: make it look like a magic river with water in the sky,Magic river,Aerial river,webvid_covr_multimodal
Source: Ink in water; Edit instruction: turn the ink into a color,Color in water,Ink in water,webvid_covr_multimodal
Source: From the glitch effect arises big city luanda. then the tv turns off. alpha channel premultiplied - matted with color black; Edit instruction: make the city montreal,From the glitch effect arises big city montreal. then the tv turns off. alpha channel premultiplied - matted with color black,From the glitch effect arises big city luanda. then the tv turns off. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
Source: Narcissus in the rain; Edit instruction: turn the narcissus into roses,Roses in the rain,Narcissus in the rain,webvid_covr_multimodal
"The images reproduced here are from Art Resource, N.Y.",The images are originally from Art Resource in New York.,The images are originally from Art Resource in New Jersey.,nli_base
A photo of a piece of construction equipment with four men riding on top of it wearing hard hats and hearing protection.,The men are riding on construction equipment.,The men are riding on an airplane.,nli_base
Source: Wolves in thailand; Edit instruction: the wolves are replaced with sheep,Sheep in thailand,Wolves in thailand,webvid_covr_multimodal
Source: Crowded beach; Edit instruction: turn the beach into an exotic location,Exotic beach,Crowded beach,webvid_covr_multimodal
Source: Blue flowers; Edit instruction: make it a heart,Blue heart,Blue flowers,webvid_covr_multimodal
Source: Multicolored roses; Edit instruction: make them pink,Pink roses,Multicolored roses,webvid_covr_multimodal
Source: Writing or sketching a word bread; Edit instruction: make it an account,Writing or sketching a word account,Writing or sketching a word bread,webvid_covr_multimodal
Source: Circles gather in symbol igloo. after it crumbles in a line and moves to the camera. alpha channel black; Edit instruction: have them crumble into guitars,Circles gather in symbol guitars. after it crumbles in a line and moves to the camera. alpha channel black,Circles gather in symbol igloo. after it crumbles in a line and moves to the camera. alpha channel black,webvid_covr_multimodal
A man in aged clothing holding flowers,A man is holding flowers,The clothes are new,nli_base
Source: Summer in miami; Edit instruction: make the yacht into a summer in miami,Yacht in miami,Summer in miami,webvid_covr_multimodal
Source: Feeding of pelicans; Edit instruction: Change the pelicans into flying birds,Flight of pelicans,Feeding of pelicans,webvid_covr_multimodal
Source: The river in the forest; Edit instruction: make the river look like it's in the forest,The life in the forest,The river in the forest,webvid_covr_multimodal
Source: Liquid symbol tree appears with water droplets. then dissolves with drops of water. alpha channel black; Edit instruction: make the tree appear in a podcast,Liquid symbol podcast appears with water droplets. then dissolves with drops of water. alpha channel black,Liquid symbol tree appears with water droplets. then dissolves with drops of water. alpha channel black,webvid_covr_multimodal
"As an adult, what is the biggest mistake that you've made, and what lesson did you learn from it?",What is an error you made as an adult and what has it taught you?,Talk about a time when you did something perfectly and there was a positive outcome.,nli_base
Two children are amazed by the man who plays the guitar.,Two children are listening to a man playing music,Three children are trying to steal a mans guitar.,nli_base
"Source: Symbol edit inflames with dark fire, then burns. in - out loop. alpha channel premultiplied - matted with color white; Edit instruction: make a menorah","Symbol menorah inflames with dark fire, then burns. in - out loop. alpha channel premultiplied - matted with color white","Symbol edit inflames with dark fire, then burns. in - out loop. alpha channel premultiplied - matted with color white",webvid_covr_multimodal
Source: Snow falling on pine tree; Edit instruction: add more trees,Snow falling on pine trees,Snow falling on pine tree,webvid_covr_multimodal
Source: Swimming underwater; Edit instruction: make the person wreck underwater,Wreck underwater,Swimming underwater,webvid_covr_multimodal
A yellow taxi and a person riding a bicycle travel in the same direction.,There is a yellow taxi.,The yellow taxi and the bicycle are traveling opposite of each other.,nli_base
Source: Dam in portugal; Edit instruction: Make it in the river,Dam in river,Dam in portugal,webvid_covr_multimodal
"'Um,' I coughed.",I coughed when I said um.,"'Um,' I sneezed.",nli_base
Source: Trust definition; Edit instruction: make the trust definition an arrest,Arrest definition,Trust definition,webvid_covr_multimodal
Source: Aerial view of a island; Edit instruction: make it a highway,Aerial view of a highway,Aerial view of a island,webvid_covr_multimodal
Source: Timelapse of mumbai city; Edit instruction: make it a timelapse of kitakyushu city,Timelapse of kitakyushu city,Timelapse of mumbai city,webvid_covr_multimodal
Source: Red rose in the garden; Edit instruction: make them flowers,Red flowers in the garden,Red rose in the garden,webvid_covr_multimodal
I can't remember.,I was not able to recall.,I can remember that clearly!,nli_base
"Source: Symbol diagnoses inflames with dark fire, then burns. in - out loop. alpha channel premultiplied - matted with color white; Edit instruction: Make it a headphone","Symbol headphones inflames with dark fire, then burns. in - out loop. alpha channel premultiplied - matted with color white","Symbol diagnoses inflames with dark fire, then burns. in - out loop. alpha channel premultiplied - matted with color white",webvid_covr_multimodal
A woman opens a cupboard,A woman opens the cupboard with the gloved right hand,A woman closes a cupboard,ego4d_temporal
Source: Red galaxy; Edit instruction: replace the red galaxy with a red martini,Red martini,Red galaxy,webvid_covr_multimodal
Source: Rosy flower; Edit instruction: change to a thistle,Thistle flower,Rosy flower,webvid_covr_multimodal
Source: Flight over bridge; Edit instruction: Turn the bridge into the beach,Flight over beach,Flight over bridge,webvid_covr_multimodal
Camouflaged men training a police dog to properly bite.,There are police men and a dog,Police women are working with a dog,nli_base
Source: Blood transfusion; Edit instruction: turn it into a blood,Blood laboratory,Blood transfusion,webvid_covr_multimodal
Source: Hand reveals hologram word-authority; Edit instruction: make it a security clear,Hand reveals hologram word-security,Hand reveals hologram word-authority,webvid_covr_multimodal
Source: View on the hills; Edit instruction: make it like it's on the roof,View on the roof,View on the hills,webvid_covr_multimodal
Two green bay packers hi-five to celebrate a touchdown.,Two football players celebrate.,Two football players fight.,nli_base
Source: Garden flowers; Edit instruction: make it summer flowers,Summer flowers,Garden flowers,webvid_covr_multimodal
A sculptor is carving a picture of a knight into a brick wall.,the man is carveing,A sculptor is carving a picture of a woman  into a brick wall.,nli_base
Two soccer teams are playing a game.,Two teams are playing a game.,Two teams are waiting for the buses.,nli_base
Source: Colombia hand drawn tourism; Edit instruction: make Greece,Greece hand drawn tourism,Colombia hand drawn tourism,webvid_covr_multimodal
Source: Bunny on a green screen; Edit instruction: change it to a duck,Duck on a green screen,Bunny on a green screen,webvid_covr_multimodal
Teams in two-man Kayaks paddle towards a rapids in a Powerade sponsored event.,A group of people are outdoors.,A man is playing with his pet bird.,nli_base
Small groups of people talk in separate rooms.,People talking in separate rooms,People talking on the phone,nli_base
Three people stand outside a vending stand.,People are standing,People are playing basketball on the court,nli_base
Source: Garden flowers; Edit instruction: turn into a narcissus,Narcissus flowers,Garden flowers,webvid_covr_multimodal
Source: Liquid symbol swatch book appears with water droplets. then dissolves with drops of water. alpha channel black; Edit instruction: make it into an atlas book,Liquid symbol atlas book appears with water droplets. then dissolves with drops of water. alpha channel black,Liquid symbol swatch book appears with water droplets. then dissolves with drops of water. alpha channel black,webvid_covr_multimodal
